,comment,orientation=no_orientation,orientation=homosexual,orientation=heterosexual,orientation=bisexual
0,"['drank', 'one', 'whole', 'one', 'thru', 'tf']",True,False,False,False
1,"['4', 'ftsometh', 'stud', 'love', 'tall', 'women', 'tho', 'init']",True,False,False,False
2,"['basic', 'aid', 'abet', 'illeg', 'alien', 'current', 'break', 'law', 'countri', 'work']",True,False,False,False
3,"['fine', 'bunch', 'muslim', 'men', 'stop', 'traffic', 'middl', 'busi', 'new', 'york', 'street', 'pray', 'mecca']",True,False,False,False
4,"['someon', 'give', 'muslim', 'account', 'follow', 'wan', 'na', 'practic', 'lie']",True,False,False,False
5,"['agre', 'brown', 'muslim', 'say', 'hate', 'white', 'peopl', 'make', 'thing', 'wors']",True,False,False,False
6,"['tell', 'look', 'like', 'towelhead', 'wear', 'fashion']",True,False,False,False
7,"['say', 'freak', 'okay', 'fit', 'shoe']",True,False,False,False
8,"['4', 'th', 'juli', 'alway', 'fire', 'american', 'patriot', 'blood', 'demand', 'fight', 'freedom', 'dem', 'openli', 'want', 'mussi', 'barbarian', 'sharia', 'america', 'make', 'women', 'slave', 'go', 'happen', 'vote', 'dem', 'congress', 'make', 'america', 'great']",True,False,False,False
9,"['conveni', 'import', 'free', 'express', 'someth', 'queer', 'bimbo', 'think']",True,False,False,False
10,"['social', 'justic', 'cute', 'caus', 'vers', 'nowher', 'say', 'shame', 'white', 'cisgend', 'men', 'scriptur', 'say', 'therefor', 'male', 'femal', 'jew', 'gentil', 'therefor', 'critic', 'valu', 'invalid']",True,False,False,False
11,"['1', 'st', 'wave', 'femin', 'let', 'us', 'vote', 'shit', 'asshol', 'modern', 'femin', 'hope', 'get', 'rape', 'bow', 'altar', 'big', 'govern', 'fellow', 'femal']",True,False,False,False
12,"['somali', 'refuge', 'get', 'job', 'sign', 'welfar', 'done', 'right', 'everi', 'time']",True,False,False,False
13,"['4', 'ft', 'tall', 'beaner', 'women', 'still', 'dispens', 'beanlet', 'per', 'year', 'ogr']",True,False,False,False
14,"['apolog', 'genuin', 'heart', 'lame', 'mere', 'damag', 'control', 'control', 'damag', 'amount', 'holocaust', 'denial', 'appear', 'inter', 'offic', 'style', 'memo', 'inadequ', 'deepli', 'offend', 'jew', 'world']",True,False,False,False
15,"['guy', 'retweet', 'white', 'coupl', 'sex', 'gif', 'say', 'dont', 'put', 'white', 'porn', 'shit', 'feed', 'found', 'exactli', 'gif', 'black', 'coupl', 'respond', 'say', 'someon', 'report', 'abus', 'harass']",True,False,False,False
16,"['sorri', 'thing', 'load', 'ra', 'ra', 'beaner', 'bullshit', 'thought', 'littl', 'dude', 'funni', 'out', 'fuck', 'tard', 'talk', 'low', 'level', 'punk', 'troll']",True,False,False,False
17,"['mate', 'play', 'divis', 'must', 'say', 'look', 'malnourish']",True,False,False,False
18,"['sorri', 'would', 'devalu', 'vote', 'overpopul', 'area', 'e', 'area', 'run', 'immigr', 'citizen', 'yet', 'know', 'vote', 'current', 'way', 'stop', 'maga']",True,False,False,False
19,"['shit', 'skin']",True,False,False,False
20,"['soobhyuck', 'superior', 'gay', 'liner']",False,True,False,False
